financial,111
accounting,103
management,74
tax,71
business,70
role,68
team,64
experience,64
skill,63
process,62
audit,59
finance,56
account,54
accounts,50
service,48
manager,48
reporting,48
strong,46
report,46
industry,41
issue,41
analysis,40
work,39
key,39
year,39
related,38
client,37
good,37
knowledge,36
communication,36
company,34
skills,34
reconciliation,34
end,33
monthly,32
balance,32
revenue,32
compliance,31
executive,31
customer,29
system,29
sheet,29
risk,29
ensure,29
internal,28
including,28
level,28
general,27
payment,27
activity,27
review,26
balance sheet,26
control,25
timely,24
category,24
information,23
ca,23
role category,23
performance,23
ensuring,23
relationship,22
analytical,22
li,22
prepare,21
payable,21
senior,21
understanding,20
research,20
job,20
data,19
provide,19
required,19
excellent,19
environment,19
banking,18
month,18
bank,18
taxation,18
develop,18
accountant,18
claim,18
pricing,18
project,17
mba,17
2,17
target,17
ledger,17
excel,17
ms,17
procedure,17
ability,17
branch,17
working,16
plan,16
high,16
area,16
resolve,16
problem,16
transaction,16
maintain,16
analyst,16
statement,16
task,16
tool,16
statutory,16
communication skill,16
accounts payable,16
responsible,15
corporate,15
support,15
professional,15
sr,15
law,15
sales,15
assigned,15
identify,15
processing,15
transportation,15
policy,15
trend,15
month end,15
product,15
carrier,15
technical,14
office,14
post,14
global,14
written,14
invoice,14
development,14
functional,14
general ledger,14
pg,14
income,14
planning,14
transfer,14
open,13
sale,13
inter,13
graduate,13
operation,13
financial reporting,13
freight,13
budget,13
improvement,13
department,13
manage,13
quality,13
solution,13
basis,13
entry,13
mis,13
legal,13
5,13
commerce,12
document,12
function,12
standard,12
cost,12
change,12
tds,12
journal,12
initiative,12
minimum,12
4,12
partner,12
1,12
vendor,12
requirement,12
leader,12
record,12
country,11
engagement,11
tally,11
recruitment,11
exposure,11
transfer pricing,11
general accounting,11
documentation,11
close,11
based,11
receivable,11
stakeholder,11
daily,11
gl,11
services,11
bill,11
quarterly,11
profile,11
retail,11
expense,11
accurate,11
due,11
degree,11
vat,11
organization,10
preparing,10
service tax,10
oracle,10
central,10
order,10
market,10
fraud,10
application,10
providing,10
loss,10
testing,10
candidate,10
drive,10
assist,10
implementation,10
responsibilities,10
day,10
asset,10
contract,10
presentation,10
budgeting,10
member,10
unit,9
monitoring,9
3,9
training,9
payroll,9
auditing,9
claims,9
5 year,9
external,9
leading,9
education,9
shift,9
group,9
responsibility,9
understand,9
decision,9
qualification,9
direct,9
assessment,9
internal audit,9
focus,9
ms excel,9
return,9
analyze,9
desired,9
effective,8
result,8
input,8
time,8
year experience,8
maintaining,8
act,8
periodic,8
pgdm,8
fund,8
accuracy,8
build,8
distribution,8
team member,8
update,8
verbal,8
yr,8
salary,8
excise,8
current,8
auditor,8
call,8
operations,8
database,8
00,8
exception,8
resolution,8
consultant,8
annual,8
strategic,8
fixed,8
relevant,8
description,8
financial statement,8
variance,8
profit,8
managing,8
analytical skill,8
mba pgdm,8
capital,8
proactive,7
assistant,7
leadership,7
departmental,7
impact,7
handling,7
location,7
line,7
existing,7
shortage,7
financials,7
schedule,7
software,7
basic,7
delivery,7
icwa,7
negotiation,7
income tax,7
filing,7
developing,7
chennai,7
credit,7
preparation,7
continuous,7
background,7
erp,7
gaap,7
insurance,7
indirect tax,7
implement,7
collection,7
request,7
staff,7
deliver,7
inter company,7
recommendation,7
rca,7
job description,7
detail,7
profitability,7
flow,7
cycle,7
indirect,7
term,7
functional area,7
expectation,7
includes,7
settlement,7
framework,7
strategy,7
essential,7
risk management,6
preferably,6
damage,6
methodology,6
team leader,6
advisory,6
people,6
r2r,6
receipt,6
weekly,6
ar,6
number,6
6,6
service providers,6
communication skills,6
elsevier,6
receive,6
involves,6
rule,6
process improvement,6
india,6
specialization,6
production,6
preferred,6
analytics,6
2 year,6
perform,6
marketing,6
expertise,6
write,6
provision,6
ms office,6
metric,6
rules,6
solving,6
accounts executive,6
providers,6
special,6
demonstrated,6
ha,6
transportation service providers,6
opportunity,6
statutory compliance,6
operating,6
query,6
portfolio,6
proper,6
problem solving,6
oral,6
receivables,6
associate,6
cash,6
journal entry,6
complex,6
intercompany,6
head,6
check,6
requirements,6
qualified,6
monthly quarterly,6
multiple,6
closure,6
financial information,6
provider,6
communicate,6
determine,6
follow,6
outstanding,6
related activity,6
transportation service,6
local,6
ebs,6
lead,6
hoc,5
good communication,5
ad hoc,5
billing,5
player,5
financial report,5
servicing,5
travel,5
category accounts,5
ad,5
investment,5
action,5
ba,5
bs,5
supervisor,5
indian,5
role category accounts,5
regulatory,5
youll,5
cma,5
accounts receivable,5
manner,5
pg mba,5
concept,5
division,5
supporting,5
domain,5
account reconciliation,5
financial planning,5
coordinate,5
written communication,5
7,5
management skill,5
resolving,5
ifrs,5
measure,5
pg ca,5
expenditure,5
demonstrates,5
dynamic,5
type,5
sr executive,5
regional,5
financial analysis,5
chartered,5
senior executive,5
performing,5
account manager,5
chartered accountant,5
making,5
entity,5
monitor,5
end close,5
order management,5
treasury,5
forecasting,5
fixed asset,5
establish,5
share,5
primary,5
regulation,5
point,5
create,5
gat,5
access,5
effectively,5
stock,5
interaction,5
detailed,5
position,5
stores,5
excellent communication,5
driving,5
oriented,5
approach,5
inventory,5
specific,5
bangalore,5
advantage,5
tax audit,5
require,5
model,5
provided,5
program,5
good analytical,5
goal,5
supervision,5
strong analytical,5
shipment,5
strong communication,5
competitive,5
edi,5
include,5
individual,5
class,5
keyskills,5
operational,5
growth,5
book,5
preferable,4
fin,4
participate,4
copy,4
adherence,4
life,4
qualifications,4
involve,4
sheet account,4
revenue accounting,4
sap,4
reconciling,4
sr manager,4
technology,4
allocation,4
tracking,4
satisfaction,4
ap,4
cpa,4
substantiation,4
keeping,4
reduce,4
crm,4
loan,4
firm,4
error,4
person,4
variance analysis,4
pertaining,4
agreement,4
relating,4
uk,4
reconcile,4
diverse,4
principle,4
centers,4
balance sheet account,4
certificate,4
handle,4
proactively,4
work experience,4
rbi,4
accounting finance,4
smooth,4
financial services,4
word,4
interview,4
customs,4
statutory audit,4
technical knowledge,4
secretary,4
doctorate,4
hand,4
epe,4
accounting function,4
discussion,4
senior management,4
sox,4
receiving,4
cenvat,4
output,4
timeline,4
selling,4
completion,4
practice,4
pack,4
minimal,4
corrective,4
independently,4
pg mba pgdm,4
focused,4
products,4
meet,4
date,4
decision making,4
additional,4
hr,4
stay,4
100,4
matter,4
tax return,4
deal,4
super,4
managers,4
manages,4
item,4
tax legal,4
assurance,4
accurately,4
10,4
efficient,4
potential,4
channel,4
track,4
sound,4
file,4
3 year,4
governance,4
finalization,4
hour,4
reconciliations,4
sector,4
prepare monthly,4
graduation,4
freight bill,4
sales tax,4
closing,4
administration,4
competencies,4
conduct,4
offs,4
executes,4
contact,4
advanced,4
bank reconciliation,4
charge,4
territory,4
ca icwa,4
identification,4
driver,4
accepted,4
accounting balance sheet,4
assistant manager,4
mis report,4
company secretary,4
finance audit,4
generation,4
added,4
impacting,4
continuous monitoring,4
robust,4
deliverable,4
range,4
distribution centers,4
accounting balance,4
holistic,4
financial control,4
cross,4
reports,3
telecom,3
accrual,3
sox audit,3
purpose,3
acquisition,3
key performance,3
companies act,3
monthly financial,3
logic,3
category accounts role,3
fema,3
ownership,3
academic,3
collections,3
consulting,3
statements,3
transportation management,3
key account,3
account payable,3
strategic account,3
accounts role,3
scope,3
tax legal compliance,3
service provider,3
years,3
compliance executive,3
term expectations,3
investigation,3
opex,3
periodical,3
laws,3
sr manager manager,3
accepted accounting,3
ensuring timely,3
alm qc,3
power,3
package,3
distribution center,3
complete,3
scm,3
tf,3
process change,3
ca mba,3
large,3
past,3
management system,3
analysis financial,3
plant,3
fundamental,3
paper,3
driven,3
major,3
guest,3
vat service tax,3
microsoft,3
indicator,3
set,3
interface,3
comprehensive,3
alert,3
liaison,3
tax vat,3
legal compliance executive,3
finance budgeting,3
4 year,3
ug,3
send,3
post graduation,3
open item,3
challenge,3
post graduate,3
manpower,3
sourcing,3
segment,3
knowledge skills,3
solving skill,3
tax tds,3
cs,3
development activity,3
vi,3
consolidated,3
time management,3
tariff,3
containment,3
consolidated financial,3
reasonable,3
network,3
benchmarking,3
team player,3
general accounting balance,3
personality,3
finance accounts,3
implication,3
high quality,3
financial product,3
flexible,3
freight payment,3
independent,3
claim issue,3
bpo,3
security,3
financial data,3
peer,3
technical tf,3
added advantage,3
increase,3
branch service,3
transition,3
role finance,3
sheet profit,3
title,3
experience working,3
interpersonal,3
actively,3
notice,3
learning,3
orientation,3
policy procedure,3
validate,3
generally,3
thinking,3
execution,3
equivalent,3
backup,3
outlook,3
bs degree,3
executive accounts,3
business units,3
multinational,3
analyzing,3
familiarity,3
capability,3
sustain,3
clear,3
ba bs,3
working knowledge,3
maintenance,3
bill processing,3
user,3
evaluate,3
delivered,3
role financial,3
renewal,3
ge,3
tax compliance,3
front,3
advisor,3
problem solving skill,3
desired candidate profile,3
future,3
employee,3
computer,3
efficiency,3
prepare financial,3
accounting standard,3
gain,3
qualification experience,3
inter company transaction,3
companies,3
end accounting,3
active,3
qualified accountant,3
high level,3
aging,3
initiate,3
purchase,3
personal,3
end closing,3
icwa cma,3
business performance,3
investment banking,3
customerrsquos,3
skills required,3
dot,3
remittance,3
process including,3
make,3
investments,3
sr analyst,3
financial system,3
influencing,3
technique,3
0,3
business unit,3
international,3
financial management,3
wait,3
write offs,3
presentation skill,3
job role,3
ba bs degree,3
deposit,3
disclosure,3
mail,3
financial statements,3
correct,3
advance,3
fast,3
role accounts,3
vendors,3
200,3
junior,3
summary,3
vat service,3
business analyst,3
identifying,3
confirm,3
business operation,3
past due,3
public,3
valu,3
days,3
good analytical skill,3
business development,3
vendor payment,3
role category finance,3
account receivable,3
commentary,3
relation,3
super valu,3
8,3
problem resolution,3
ensures,3
meeting,3
customer satisfaction,3
gap,3
payable account,3
assignment,3
financial accounting,3
proficient,3
engineering,3
organizational,3
team environment,3
company transaction,3
talent,3
performance management,3
manager manager,3
facilitate,3
mid,3
national,3
accounts executive accountant,3
teamwork,3
center,3
3 5 year,3
desired candidate,3
corporation,3
spreadsheet,3
special project,3
specification,3
supplier,3
legal compliance,3
strong analytical skill,3
month end close,3
expectations,3
ensure timely,3
written communication skill,3
company reconciliation,3
timely manner,3
global environment,3
role involves,3
ebs finance,3
improve,3
accounting financial,3
strong communication skill,3
suggest,3
executive accountant,3
client service,3
officer,3
accounts finance,3
core,3
identified,3
8 year,3
standards,3
quick,3
category finance audit,3
centrally,3
period,3
director,3
accounting related,3
alm,3
strong business,3
design,3
manager internal audit,3
post qualification,3
execute,3
checklist,3
analyze financial,3
finding,3
contractual,3
part,3
costing,3
post qualification experience,3
sustainable,3
9,3
balance sheet profit,3
accounting system,3
question,3
category finance,3
central excise,3
apply,3
fee,3
year end,3
tat,3
candidate profile,3
3 5,3
priority,3
qc,3
existing process,3
closed,3
units,3
lawson,3
export,3
leap,3
volume,3
due bill,3
manager internal,3
ar gl,3
4 yr,2
internally,2
risk assessment,2
manpower requirement,2
leading initiative,2
business application,2
appropriately,2
budget profit loss,2
paperwork,2
successful,2
91,2
90,2
company secretary audit,2
receivable team,2
reviewing,2
life insurance,2
feedback,2
concurrence,2
gat team,2
financial information balance,2
rs,2
dst,2
hr recruitment,2
general ledger accounting,2
r2,2
clarity,2
master,2
credit rules,2
reporting month,2
work related,2
tech,2
work location,2
adhoc,2
abreast,2
develop implement,2
elsevier stakeholder,2
planned,2
pre,2
simplification,2
4 6,2
indicative,2
auditing tax,2
manufacturing,2
good communication skill,2
back,2
accounts payable team,2
floor,2
business strategy,2
prepaid,2
consolidation,2
shortage issue research,2
office tool,2
month end accounting,2
deliverables,2
root,2
thereunder,2
queue,2
opex team,2
accounting software,2
management auditing,2
positive,2
advance payment,2
validity,2
reporting month end,2
sm,2
hedge,2
tariff reporting,2
establishing,2
transfer pricing documentation,2
pricing documentation,2
oracle financials,2
work closely,2
note,2
dispute,2
service line,2
prime,2
assist team,2
good communication skills,2
deduction,2
role category retail,2
yearly,2
key skills,2
thousand,2
revenue impacting adjustment,2
chief accountants,2
company asset,2
role taxation direct,2
role category corporate,2
working relationship,2
cash flow,2
service level,2
