account,224
manag,146
financi,115
report,96
skill,92
process,80
tax,73
role,71
busi,70
audit,68
team,66
servic,65
experi,64
work,56
financ,55
provid,53
ensur,52
relat,47
issu,46
strong,46
industri,43
prepar,43
commun,41
year,41
requir,41
execut,41
develop,40
gener,40
includ,39
compani,38
client,38
key,38
good,38
ani,38
analysi,37
knowledg,37
reconcili,36
bank,36
perform,36
time,35
custom,35
respons,34
oper,34
activ,34
excel,34
revenu,33
monthli,32
system,32
intern,32
variou,32
complianc,32
end,32
balanc,32
risk,30
plan,29
sheet,29
level,29
control,28
function,28
sale,28
understand,28
analyt,28
review,28
receiv,27
payment,27
product,26
claim,26
graduat,26
categori,26
balanc sheet,26
inform,26
2,25
maintain,25
budget,24
role categori,24
support,23
ca,23
relationship,22
document,22
payabl,22
li,22
research,21
identifi,21
senior,21
job,21
data,20
account payabl,20
close,20
resolv,20
special,20
1,20
financi report,19
corpor,19
price,19
month,19
commun skill,19
4,19
pg,19
environ,19
branch,19
project,18
mba,18
procedur,18
law,18
target,18
taxat,18
profession,18
market,18
ledger,18
transact,18
statement,18
5,18
implement,17
offic,17
area,17
assign,17
assist,17
bill,17
ms,17
3,16
solut,16
high,16
transport,16
problem,16
standard,16
post,16
global,16
chang,16
analyst,16
polici,16
initi,16
improv,16
task,16
tool,16
trend,16
statutori,16
invoic,16
abil,16
gener ledger,15
cost,15
incom,15
journal,15
profit,15
period,15
carrier,15
effect,14
technic,14
prefer,14
sr,14
open,14
drive,14
consult,14
written,14
accur,14
appropri,14
entri,14
month end,14
vendor,14
lead,14
transfer,14
record,14
inter,13
thi,13
central,13
basi,13
qualiti,13
stakehold,13
engag,13
collect,13
monitor,13
desir,13
train,13
day,13
detail,13
mi,13
ani special,13
profil,13
legal,13
unit,12
td,12
candid,12
depart,12
freight,12
impact,12
educ,12
qualif,12
base,12
handl,12
applic,12
minimum,12
commerc,12
partner,12
direct,12
asset,12
analyz,12
leader,12
countri,11
deliv,11
specif,11
transfer price,11
gener account,11
quarterli,11
6,11
fund,11
person,11
expens,11
talli,11
assess,11
rule,11
involv,11
test,11
reconcil,11
recruit,11
degre,11
gl,11
continu,11
servic tax,11
daili,11
file,11
exposur,11
retail,11
organ,11
contract,11
return,11
expect,11
due,11
present,11
vat,11
result,10
updat,10
extern,10
financi statement,10
servic provid,10
demonstr,10
order,10
coordin,10
proactiv,10
loss,10
recommend,10
shift,10
group,10
valu,10
orient,10
build,10
complet,10
member,10
decis,9
current,9
effici,9
ad,9
pgdm,9
input,9
ug,9
payrol,9
accuraci,9
oracl,9
analyt skill,9
provis,9
focu,9
fraud,9
yr,9
salari,9
strategi,9
call,9
negoti,9
make,9
correct,9
track,9
descript,9
associ,9
act,9
request,9
intern audit,9
ms excel,9
5 year,9
distribut,9
mba pgdm,9
fix,8
resolut,8
varianc,8
job descript,8
ani graduat,8
essenti,8
strateg,8
softwar,8
team member,8
administr,8
account receiv,8
verbal,8
7,8
auditor,8
end close,8
00,8
establish,8
annual,8
rca,8
year experi,8
insur,8
excis,8
databas,8
head,8
check,8
capit,8
practic,8
posit,8
follow,8
advanc,8
relev,8
account manag,8
locat,8
regul,7
exist,7
receipt,7
shortag,7
fix asset,7
indirect tax,7
leadership,7
creat,7
schedul,7
line,7
deliveri,7
supervis,7
settlement,7
india,7
indic,7
icwa,7
independ,7
account financ,7
write,7
discuss,7
function area,7
sustain,7
department,7
distribut center,7
ha,7
chennai,7
credit,7
basic,7
calcul,7
background,7
erp,7
senior manag,7
gaap,7
term,7
account execut,7
staff,7
inter compani,7
center,7
journal entri,7
complex,7
indirect,7
flow,7
cycl,7
region,7
model,7
regard,7
invest,7
interact,7
store,7
incom tax,7
determin,7
charter,6
team leader,6
advisori,6
peopl,6
r2r,6
weekli,6
ar,6
achiev,6
qualifi,6
number,6
comput,6
agreement,6
busi unit,6
alloc,6
priorit,6
process improv,6
closur,6
2 year,6
post graduat,6
opportun,6
pg mba,6
execut account,6
statutori complianc,6
portfolio,6
multipl,6
eb,6
pertain,6
mi report,6
damag,6
metric,6
categori account,6
meet,6
final,6
methodolog,6
ug ani,6
10,6
risk manag,6
deal,6
transport servic provid,6
forecast,6
doctor,6
role categori account,6
oral,6
share,6
queri,6
problem solv,6
proper,6
expertis,6
outstand,6
ug ani graduat,6
intercompani,6
ms offic,6
monthli quarterli,6
cash,6
program,6
relat activ,6
framework,6
solv,6
appli,6
financi inform,6
transport servic,6
local,6
elsevi,6
book,6
notic,5
hoc,5
travel,5
ad hoc,5
player,5
measur,5
reduc,5
nation,5
graduat ani special,5
desir candid profil,5
action,5
set,5
senior execut,5
firm,5
error,5
ba,5
bs,5
supervisor,5
indian,5
financi analysi,5
ani graduat ani,5
written commun,5
overal,5
regulatori,5
manag skill,5
youll,5
purchas,5
competit,5
compet,5
cma,5
excel commun,5
network,5
desir candid,5
manner,5
consolid,5
secretari,5
concept,5
compani secretari,5
dynam,5
client servic,5
identif,5
valid,5
shipment,5
ifr,5
reason,5
particip,5
ledger account,5
institut,5
ensur time,5
pg mba pgdm,5
strong commun,5
benchmark,5
influenc,5
pg ca,5
financi account,5
type,5
minim,5
financi plan,5
matter,5
tax return,5
educ ug,5
entiti,5
principl,5
treasuri,5
advantag,5
confirm,5
order manag,5
8,5
point,5
prepar monthli,5
access,5
stock,5
gener ledger account,5
integr,5
deliver,5
success,5
month end close,5
candid profil,5
rang,5
primari,5
graduat ani,5
approach,5
inventori,5
strong analyt,5
focus,5
sourc,5
bangalor,5
individu,5
tax audit,5
analys,5
thi role,5
timelin,5
potenti,5
design,5
goal,5
divis,5
charter account,5
account reconcili,5
prepar financi,5
certif,5
9,5
collabor,5
financi servic,5
edi,5
keyskil,5
expenditur,5
good analyt,5
class,5
growth,5
domain,5
gat,5
bank reconcili,4
postgradu,4
fin,4
work experi,4
object,4
logic,4
life,4
employ,4
profil educ,4
avail,4
key account,4
sheet account,4
date,4
sap,4
balanc sheet account,4
ap,4
cpa,4
learn,4
accept,4
financ function,4
differ,4
sell,4
loan,4
account system,4
manag intern,4
financ audit,4
uk,4
age,4
send,4
technolog,4
continu monitor,4
knowledg skill,4
facilit,4
matrix,4
outsid,4
rbi,4
assur,4
profici,4
word,4
interview,4
sr manag,4
ani postgradu,4
hand,4
epe,4
transport manag,4
sale tax,4
satisfact,4
good analyt skill,4
account balanc,4
cenvat,4
account payabl account,4
output,4
